Coordinate 1,Coordinate 2,Ellipsoid Dimensions,Tags,Description,Segment IDs,Parent ID,Type,ID
"(9598, 11711, 266)",,,,,,,Point,
"(9556, 11672, 267)",,,,,,,Point,
"(9921, 11323, 268)",,,,,,,Point,
"(9153, 12068, 269)",,,,,,,Point,
"(10516, 11630, 270)",,,,,,,Point,
"(10535, 11415, 271)",,,,,,,Point,
"(8300, 12437, 272)",,,,,,,Point,
"(10255, 11972, 273)",,,,,,,Point,
"(11330, 11980, 274)",,,,,,,Point,
"(11211, 11826, 275)",,,,,,,Point,
"(10604, 12195, 276)",,,,,,,Point,
"(10101, 10113, 277)",,,,,,,Point,
"(10570, 12567, 278)",,,,,,,Point,
"(10889, 11281, 279)",,,,,,,Point,
"(10297, 11849, 280)",,,,,,,Point,
"(10816, 11680, 281)",,,,,,,Point,
"(10485, 11576, 282)",,,,,,,Point,
"(10447, 11158, 283)",,,,,,,Point,
"(10562, 11864, 284)",,,,,,,Point,
"(10063, 11983, 285)",,,,,,,Point,
"(10370, 11949, 286)",,,,,,,Point,
"(9790, 12037, 287)",,,,,,,Point,
"(9975, 12037, 288)",,,,,,,Point,
"(9836, 12026, 289)",,,,,,,Point,
"(10866, 11983, 290)",,,,,,,Point,
"(10977, 8934, 291)",,,,,,,Point,
"(8553, 9287, 292)",,,,,,,Point,
"(9786, 9602, 293)",,,,,,,Point,
"(10274, 9368, 294)",,,,,,,Point,
"(10159, 9744, 295)",,,,,,,Point,
"(9767, 9725, 296)",,,,,,,Point,
"(9421, 9153, 297)",,,,,,,Point,
"(10535, 9740, 298)",,,,,,,Point,
"(10213, 9794, 299)",,,,,,,Point,
"(10047, 9168, 300)",,,,,,,Point,
"(10197, 9494, 301)",,,,,,,Point,
"(9998, 9825, 302)",,,,,,,Point,
"(9809, 8880, 303)",,,,,,,Point,
"(9406, 9844, 304)",,,,,,,Point,
"(9648, 9256, 305)",,,,,,,Point,
"(11653, 9936, 306)",,,,,,,Point,
"(9268, 9594, 307)",,,,,,,Point,
"(12170, 9277, 308)",,,,,,,Point,
"(10069, 9478, 309)",,,,,,,Point,
"(9659, 9861, 310)",,,,,,,Point,
"(11283, 8591, 311)",,,,,,,Point,
"(11483, 10574, 312)",,,,,,,Point,
"(10322, 9449, 313)",,,,,,,Point,
"(10101, 9785, 314)",,,,,,,Point,
"(10140, 9637, 315)",,,,,,,Point,
"(10912, 10268, 316)",,,,,,,Point,
"(11015, 8815, 317)",,,,,,,Point,
"(9356, 8099, 318)",,,,,,,Point,
"(11784, 8871, 319)",,,,,,,Point,
"(10608, 9478, 320)",,,,,,,Point,
"(9786, 8974, 321)",,,,,,,Point,
"(12014, 9351, 322)",,,,,,,Point,
"(11878, 10109, 323)",,,,,,,Point,
"(10013, 11084, 324)",,,,,,,Point,
"(10570, 7418, 325)",,,,,,,Point,
"(11230, 9057, 326)",,,,,,,Point,
"(10685, 9030, 327)",,,,,,,Point,
"(10458, 9148, 328)",,,,,,,Point,
"(10935, 8532, 329)",,,,,,,Point,
"(11021, 9478, 330)",,,,,,,Point,
"(11192, 9122, 331)",,,,,,,Point,
"(11922, 9805, 332)",,,,,,,Point,
"(10935, 8240, 333)",,,,,,,Point,
"(10753, 8827, 334)",,,,,,,Point,
"(11156, 8317, 335)",,,,,,,Point,
"(10641, 9018, 336)",,,,,,,Point,
"(10806, 8847, 337)",,,,,,,Point,
"(11127, 8261, 338)",,,,,,,Point,
"(10950, 8517, 339)",,,,,,,Point,
"(11274, 8824, 340)",,,,,,,Point,
"(11215, 8880, 341)",,,,,,,Point,
"(10876, 8311, 342)",,,,,,,Point,
"(11589, 8482, 343)",,,,,,,Point,
