Coordinate 1,Coordinate 2,Ellipsoid Dimensions,Tags,Description,Segment IDs,Parent ID,Type,ID
"(7747, 6964, 194)",,,,,,,Point,
"(8912, 6539, 195)",,,,,,,Point,
"(9167, 6862, 196)",,,,,,,Point,
"(8827, 6973, 197)",,,,,,,Point,
"(8164, 6785, 198)",,,,,,,Point,
"(7228, 7253, 199)",,,,,,,Point,
"(9167, 6879, 200)",,,,,,,Point,
"(9414, 6887, 201)",,,,,,,Point,
"(9184, 6726, 202)",,,,,,,Point,
"(8852, 7211, 203)",,,,,,,Point,
"(8810, 6913, 204)",,,,,,,Point,
"(8801, 7338, 205)",,,,,,,Point,
"(9950, 10843, 206)",,,,,,,Point,
"(10239, 11761, 207)",,,,,,,Point,
"(10877, 10936, 208)",,,,,,,Point,
"(11140, 10621, 209)",,,,,,,Point,
"(10281, 10458, 210)",,,,,,,Point,
"(10379, 10413, 211)",,,,,,,Point,
"(10426, 10935, 212)",,,,,,,Point,
"(9924, 11420, 213)",,,,,,,Point,
"(10384, 11377, 214)",,,,,,,Point,
"(11991, 10782, 215)",,,,,,,Point,
"(10613, 10867, 216)",,,,,,,Point,
"(9397, 11317, 217)",,,,,,,Point,
"(10537, 11369, 218)",,,,,,,Point,
"(10809, 10237, 219)",,,,,,,Point,
"(11030, 10084, 220)",,,,,,,Point,
"(9499, 10892, 221)",,,,,,,Point,
"(9448, 10560, 222)",,,,,,,Point,
"(10647, 11079, 223)",,,,,,,Point,
"(12246, 11020, 224)",,,,,,,Point,
"(6616, 10297, 225)",,,,,,,Point,
"(10571, 9974, 226)",,,,,,,Point,
"(10103, 11105, 227)",,,,,,,Point,
"(10384, 10399, 228)",,,,,,,Point,
"(11268, 10858, 229)",,,,,,,Point,
"(10749, 10441, 230)",,,,,,,Point,
"(10111, 10850, 231)",,,,,,,Point,
"(10137, 10986, 232)",,,,,,,Point,
"(10766, 10663, 233)",,,,,,,Point,
"(12187, 11870, 234)",,,,,,,Point,
"(12170, 12040, 235)",,,,,,,Point,
"(12697, 11709, 236)",,,,,,,Point,
"(12433, 11369, 237)",,,,,,,Point,
"(12697, 10994, 238)",,,,,,,Point,
"(11370, 11760, 239)",,,,,,,Point,
"(12212, 11386, 240)",,,,,,,Point,
"(12850, 11751, 241)",,,,,,,Point,
"(12374, 11811, 242)",,,,,,,Point,
"(12093, 11360, 243)",,,,,,,Point,
"(12170, 11496, 244)",,,,,,,Point,
"(11319, 10824, 245)",,,,,,,Point,
"(11217, 11794, 246)",,,,,,,Point,
"(12442, 11479, 247)",,,,,,,Point,
"(11762, 12168, 248)",,,,,,,Point,
"(11413, 11386, 249)",,,,,,,Point,
"(11362, 11428, 250)",,,,,,,Point,
"(11481, 11947, 251)",,,,,,,Point,
"(11659, 11386, 252)",,,,,,,Point,
"(11617, 11394, 253)",,,,,,,Point,
"(11949, 11037, 254)",,,,,,,Point,
"(11600, 11317, 255)",,,,,,,Point,
"(11821, 11394, 256)",,,,,,,Point,
"(11005, 11411, 257)",,,,,,,Point,
"(11736, 11190, 258)",,,,,,,Point,
"(12706, 10892, 259)",,,,,,,Point,
"(12595, 11360, 260)",,,,,,,Point,
"(11634, 10365, 261)",,,,,,,Point,
"(12408, 12993, 262)",,,,,,,Point,
"(11056, 11581, 263)",,,,,,,Point,
"(10749, 11224, 264)",,,,,,,Point,
"(11302, 11122, 265)",,,,,,,Point,
"(10528, 11819, 266)",,,,,,,Point,
"(10503, 11760, 267)",,,,,,,Point,
"(10877, 11386, 268)",,,,,,,Point,
"(10111, 12100, 269)",,,,,,,Point,
"(11447, 11666, 270)",,,,,,,Point,
"(11472, 11428, 271)",,,,,,,Point,
"(9235, 12415, 272)",,,,,,,Point,
"(11192, 11938, 273)",,,,,,,Point,
"(12280, 11921, 274)",,,,,,,Point,
"(12161, 11751, 275)",,,,,,,Point,
"(11566, 12126, 276)",,,,,,,Point,
"(11047, 9965, 277)",,,,,,,Point,
"(11498, 12746, 278)",,,,,,,Point,
"(11796, 11462, 279)",,,,,,,Point,
"(11200, 11998, 280)",,,,,,,Point,
"(11753, 11811, 281)",,,,,,,Point,
"(11387, 11666, 282)",,,,,,,Point,
"(11336, 11249, 283)",,,,,,,Point,
"(11506, 11930, 284)",,,,,,,Point,
"(11013, 12006, 285)",,,,,,,Point,
"(11319, 11947, 286)",,,,,,,Point,
"(10741, 12036, 287)",,,,,,,Point,
"(10911, 11994, 288)",,,,,,,Point,
"(10783, 11968, 289)",,,,,,,Point,
"(11779, 11917, 290)",,,,,,,Point,
"(10077, 8472, 291)",,,,,,,Point,
"(7687, 8872, 292)",,,,,,,Point,
"(8912, 9221, 293)",,,,,,,Point,
"(9380, 9025, 294)",,,,,,,Point,
"(9261, 9416, 295)",,,,,,,Point,
"(8878, 9425, 296)",,,,,,,Point,
"(8495, 8881, 297)",,,,,,,Point,
"(9610, 9459, 298)",,,,,,,Point,
"(9278, 9595, 299)",,,,,,,Point,
"(9099, 8991, 300)",,,,,,,Point,
"(9252, 9323, 301)",,,,,,,Point,
"(9027, 9691, 302)",,,,,,,Point,
"(8831, 8772, 303)",,,,,,,Point,
"(8440, 9793, 304)",,,,,,,Point,
"(8669, 9231, 305)",,,,,,,Point,
"(10677, 9929, 306)",,,,,,,Point,
"(8712, 8789, 307)",,,,,,,Point,
"(11136, 9274, 308)",,,,,,,Point,
"(9129, 9155, 309)",,,,,,,Point,
"(8737, 9563, 310)",,,,,,,Point,
"(10405, 8330, 311)",,,,,,,Point,
"(10549, 10354, 312)",,,,,,,Point,
"(9375, 9240, 313)",,,,,,,Point,
"(9188, 9631, 314)",,,,,,,Point,
"(9180, 9486, 315)",,,,,,,Point,
"(9988, 10116, 316)",,,,,,,Point,
"(10107, 8678, 317)",,,,,,,Point,
"(8448, 8015, 318)",,,,,,,Point,
"(10821, 8772, 319)",,,,,,,Point,
"(9588, 9393, 320)",,,,,,,Point,
"(8840, 8925, 321)",,,,,,,Point,
"(11085, 9299, 322)",,,,,,,Point,
"(10932, 10073, 323)",,,,,,,Point,
"(9299, 10626, 324)",,,,,,,Point,
"(9835, 6943, 325)",,,,,,,Point,
"(10447, 8610, 326)",,,,,,,Point,
"(9860, 8602, 327)",,,,,,,Point,
"(9648, 8712, 328)",,,,,,,Point,
"(10098, 8134, 329)",,,,,,,Point,
"(10217, 9138, 330)",,,,,,,Point,
"(10362, 8764, 331)",,,,,,,Point,
"(11102, 9469, 332)",,,,,,,Point,
"(10098, 7947, 333)",,,,,,,Point,
"(9911, 8585, 334)",,,,,,,Point,
"(10285, 8092, 335)",,,,,,,Point,
"(9784, 8815, 336)",,,,,,,Point,
"(9911, 8670, 337)",,,,,,,Point,
"(10251, 8168, 338)",,,,,,,Point,
"(10081, 8440, 339)",,,,,,,Point,
"(10388, 8798, 340)",,,,,,,Point,
"(10311, 8883, 341)",,,,,,,Point,
"(10005, 8338, 342)",,,,,,,Point,
"(10660, 8517, 343)",,,,,,,Point,
"(9367, 9674, 344)",,,,,,,Point,
"(9894, 8908, 345)",,,,,,,Point,
"(10498, 8908, 346)",,,,,,,Point,
"(10005, 8781, 347)",,,,,,,Point,
"(11817, 9657, 348)",,,,,,,Point,
"(10719, 8576, 349)",,,,,,,Point,
"(9699, 9291, 350)",,,,,,,Point,
"(9188, 9197, 351)",,,,,,,Point,
"(9418, 9665, 352)",,,,,,,Point,
"(9818, 8781, 353)",,,,,,,Point,
"(9120, 9214, 354)",,,,,,,Point,
"(9537, 9155, 355)",,,,,,,Point,
